# x[m] y[m]
55.8637 9.7946
55.9593 9.8106
56.0549 9.8267
56.1505 9.8427
56.2461 9.8588
56.3417 9.8748
56.4373 9.8909
56.5329 9.9069
56.6285 9.9230
56.7241 9.9390
56.8197 9.9550
56.9153 9.9711
57.0108 9.9871
57.1064 10.0031
57.2020 10.0191
57.2975 10.0351
57.3931 10.0512
57.4886 10.0672
57.5842 10.0832
57.6797 10.0992
57.7752 10.1152
57.8708 10.1312
57.9663 10.1472
58.0618 10.1632
58.1573 10.1791
58.2528 10.1951
58.3483 10.2111
58.4438 10.2271
58.5393 10.2431
58.6348 10.2590
58.7303 10.2750
58.8258 10.2910
58.9213 10.3069
59.0167 10.3229
59.1122 10.3388
59.2077 10.3548
59.3031 10.3707
59.3986 10.3867
59.4940 10.4026
59.5895 10.4186
59.6849 10.4345
59.7804 10.4504
59.8758 10.4664
59.9712 10.4823
60.0667 10.4982
60.1621 10.5141
60.2575 10.5300
60.3529 10.5460
60.4483 10.5619
60.5437 10.5778
60.6391 10.5937
60.7345 10.6096
60.8299 10.6255
60.9252 10.6414
61.0206 10.6573
61.1160 10.6731
61.2114 10.6890
61.3067 10.7049
61.4021 10.7208
61.4974 10.7367
61.5928 10.7525
61.6881 10.7684
61.7835 10.7843
61.8788 10.8001
61.9741 10.8160
62.0695 10.8318
62.1648 10.8477
62.2601 10.8635
62.3554 10.8794
62.4507 10.8952
62.5460 10.9111
62.6413 10.9269
62.7366 10.9427
62.8319 10.9586
62.9272 10.9744
63.0225 10.9902
63.1177 11.0060
63.2130 11.0218
63.3083 11.0376
63.4035 11.0535
63.4988 11.0693
63.5940 11.0851
63.6893 11.1009
63.7845 11.1167
63.8798 11.1325
63.9750 11.1482
64.0702 11.1640
64.1655 11.1798
64.2607 11.1956
64.3559 11.2114
64.4511 11.2272
64.5463 11.2429
64.6415 11.2587
64.7367 11.2745
64.8319 11.2902
64.9271 11.3060
65.0223 11.3217
65.1175 11.3375
65.2126 11.3532
65.3078 11.3690
65.4030 11.3847
65.4981 11.4005
65.5933 11.4162
65.6884 11.4319
65.7836 11.4477
65.8787 11.4634
65.9739 11.4791
66.0690 11.4948
66.1641 11.5105
66.2592 11.5263
66.3544 11.5420
66.4495 11.5577
66.5446 11.5734
66.6397 11.5891
66.7348 11.6048
66.8299 11.6205
66.9250 11.6362
67.0201 11.6518
67.1152 11.6675
67.2102 11.6832
67.3053 11.6989
67.4004 11.7146
67.4954 11.7302
67.5905 11.7459
67.6855 11.7616
67.7806 11.7772
67.8756 11.7929
67.9707 11.8085
68.0657 11.8242
68.1608 11.8398
68.2558 11.8555
68.3508 11.8711
68.4458 11.8868
68.5408 11.9024
68.6358 11.9180
68.7309 11.9337
68.8259 11.9493
68.9208 11.9649
69.0158 11.9805
69.1108 11.9962
69.2058 12.0118
69.3008 12.0274
69.3958 12.0430
69.4907 12.0586
69.5857 12.0742
69.6806 12.0898
69.7756 12.1054
69.8705 12.1210
69.9655 12.1366
70.0604 12.1522
70.1554 12.1677
70.2503 12.1833
70.3452 12.1989
70.4402 12.2145
70.5351 12.2300
70.6300 12.2456
70.7249 12.2612
70.8198 12.2767
70.9147 12.2923
71.0096 12.3078
71.1045 12.3234
71.1994 12.3389
71.2942 12.3545
71.3891 12.3700
71.4840 12.3855
71.5789 12.4011
71.6737 12.4166
71.7686 12.4321
71.8634 12.4477
71.9583 12.4632
72.0531 12.4787
72.1480 12.4942
72.2428 12.5097
72.3376 12.5252
72.4325 12.5407
72.5273 12.5562
72.6221 12.5717
72.7169 12.5872
72.8117 12.6027
72.9065 12.6182
